family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,variant,controlled_bos_size,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
controlled_bos,16,5.0,reference,1,HDS,Sharable,HDS-Sharable,3.9205886934969154,15.682354773987663,1,5.000000000000001,downstream_reserved,1,idle_only,1,1,1,0.0,19.60294346748458,19.60294346748458,5.000000000000001,20,5,16,9,0.5625,15.106150783001794,0,12,16,5.083333333333333,"{""1"":1,""2"":1,""3"":2,""4"":2,""5"":3,""6"":1,""7"":1,""16"":1}",11,0.6875,0,5,11,10,16,0,5,759,1899,15.105393245001324,0.04558996140042068,1,0,1,11,2.1094237467877974e-15,8.881784197001252e-16,0.035,17.393949558351007,102.47925870502142,144.8389527555469,0.05542814486618977,0.03498256336771995,0.07587372636465958,0.19480037699509198,0.1419317693455065,0.24261379009517967,0.1519101689935016,0.3356085205142682,0.04908153964783182,0.25546761183335304,10,1,1,1,1,0.0,17.393949558351007,0.3125,5,15.126388429995131,0.8696350635748971,15.123991821001255,8.238340696401714,0.04,8.198340696401715,20.904550518018276,58.44011309852759,17.393949558351007,16,16,1.0,2.2089939091335715,0.8873131520887344,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,15.127963465998619
controlled_bos,16,5.0,reference,1,HDS,NonSharable,HDS-NonSharable,3.9205886934969154,15.682354773987663,1,5.000000000000001,downstream_reserved,1,idle_only,1,1,1,0.0,19.60294346748458,19.60294346748458,5.000000000000001,20,5,16,5,0.3125,0.023442941001121653,0,12,16,6.833333333333333,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""11"":1,""16"":1}",5,0.3125,0,11,5,10,16,0,5,159,704,0.022971358001086628,0.0,0,0,0,5,1.6653345369377348e-16,1.1102230246251565e-16,0.035,16.13275305654933,102.47925870502142,152.47766041871728,0.04976421424734685,0.03207669375458834,0.06745173474010537,0.1781467849940138,0.13033203062728832,0.20738293377568348,0.12541575671409788,0.20725763039247314,0.05329733790613415,0.2712078424876207,10,1,1,1,1,0.0,16.13275305654933,0.6875,5,0.0248024870052177,0.001537399532384757,0.022971358001086628,8.250340696401715,0.052000000000000005,8.198340696401715,0.4161974170032676,53.44403549820414,16.13275305654933,16,16,1.0,3.470190410935249,0.8229760537395184,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.026007569998910185
controlled_bos,16,5.0,reference,1,PBQS,Sharable,PBQS-Sharable,3.9205886934969154,15.682354773987663,1,5.000000000000001,downstream_reserved,1,queue_aware,1,1,1,0.0,19.60294346748458,19.60294346748458,5.000000000000001,20,5,16,6,0.375,0.004206935002002865,0,5,16,7.0,"{""1"":1,""3"":1,""5"":1,""10"":1,""16"":1}",0,0.0,0,12,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,19.4601892372712,102.47925870502142,137.97410383519207,0.08635600828555248,0.0558593985484454,0.11685261802265956,0.26478538220082853,0.19837274474159206,0.33864140927509384,0.2055710594742822,0.310726604682471,0.05448494972236269,0.19199500817390436,8,1,1,1,1,0.0,19.4601892372712,0.75,4,0.00846789000206627,0.0004351391396466028,0.0,8.238340696401714,0.04,8.198340696401715,66.75729712198631,63.548491728198854,19.4601892372712,16,16,1.0,0.1427542302133773,0.9927177145386271,bos_scaling,pbqs,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.00941805500042392
controlled_bos,16,5.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,3.9205886934969154,15.682354773987663,1,5.000000000000001,downstream_reserved,1,queue_aware,1,1,1,0.0,19.60294346748458,19.60294346748458,5.000000000000001,20,5,16,4,0.25,0.0029720960010308772,0,4,16,9.75,"{""3"":1,""8"":1,""12"":1,""16"":1}",0,0.0,0,11,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.045,19.057219650625207,102.47925870502142,129.68194771253854,0.06139432003080865,0.041507663531408,0.0812809765302093,0.20834691501964014,0.17268608525693196,0.3864955022192004,0.15950651562867005,0.33442467893663824,0.04416154277880588,0.1823421824316309,10,1,1,1,1,0.0,19.057219650625207,0.6875,5,0.00733441200281959,0.00038486264718993107,0.0,8.236340696401713,0.038,8.198340696401713,50.91769552996757,62.50407450589204,19.057219650625207,16,16,1.0,0.5457238168593719,0.9721611288751322,bos_scaling,pbqs,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.008232640000642277
controlled_bos,16,5.0,reference,2,HDS,Sharable,HDS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,16,8,0.5,3.9994256520003546,0,12,16,5.166666666666667,"{""1"":1,""2"":1,""3"":1,""4"":4,""5"":2,""6"":1,""8"":1,""16"":1}",11,0.6875,0,5,11,10,16,0,5,759,1899,3.9987808520018007,0.0,0,0,0,11,4.440892098500626e-15,3.552713678800501e-15,0.035,17.237669171660897,106.2939389634924,153.19367200076107,0.06783710517910346,0.044675688950045866,0.09099852140816105,0.20499735635519917,0.18315304571536165,0.2640562982029175,0.17004395934263547,0.2990764509051422,0.05150761911578126,0.241069255706241,10,1,1,1,1,0.0,17.237669171660897,0.3125,5,4.018577762995847,0.2331276765423991,4.016568511004152,8.549515117079391,0.046,8.503515117079392,27.646972079483884,61.499206906559756,17.237669171660897,16,16,1.0,2.331803991446421,0.8808448254068293,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,4.019612804000644
controlled_bos,16,5.0,reference,2,HDS,NonSharable,HDS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,16,5,0.3125,0.028317274001892656,0,12,16,6.833333333333333,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""11"":1,""16"":1}",5,0.3125,0,11,5,10,16,0,5,159,704,0.02788057300131186,0.0,0,0,0,5,1.4988010832439613e-15,1.0547118733938987e-15,0.035,17.427701554719018,106.2939389634924,167.96456580700504,0.06502995058557401,0.04453015574741673,0.08552974542373129,0.19548826802116964,0.18010375128568254,0.30568093335586005,0.14512564798008423,0.2824099286418447,0.051624019975206346,0.28337620281952974,10,1,1,1,1,0.0,17.427701554719018,0.6875,5,0.02977284700682503,0.001708363372722735,0.02788057300131186,8.565515117079391,0.062,8.503515117079392,0.37116382068428344,58.646480406350896,17.427701554719018,16,16,1.0,2.1417716083883,0.8905554794175041,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.03085824300069362
controlled_bos,16,5.0,reference,2,PBQS,Sharable,PBQS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,16,6,0.375,0.0034898570011137053,0,5,16,6.6,"{""1"":1,""2"":1,""4"":1,""10"":1,""16"":1}",0,0.0,0,11,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.055,19.291557900663584,106.2939389634924,147.45300940277738,0.07614416847802344,0.05009291963284271,0.10219541732320415,0.22250242339079349,0.1990353861324913,0.3318909431149286,0.19459980292282367,0.37833275852765275,0.045785766634688654,0.20844959298941884,10,1,1,1,1,0.0,19.291557900663584,0.6875,5,0.0079541449995304,0.00041231221659173496,0.0,8.545515117079391,0.042,8.503515117079392,71.83167280296855,66.75072701723805,19.291557900663584,16,16,1.0,0.27791526244373443,0.9857985312058546,bos_scaling,pbqs,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.008854716001224006
controlled_bos,16,5.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,16,4,0.25,0.0029843940028513316,0,4,16,9.5,"{""3"":1,""7"":1,""12"":1,""16"":1}",0,0.0,0,11,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.035,19.12147969189634,106.2939389634924,138.16408355880316,0.07548470662622145,0.05050473732316035,0.10046467592928254,0.220801941959147,0.20351938069338665,0.42954047473055185,0.18967799205556365,0.315288552778048,0.04580438551287278,0.19024779163778033,10,1,1,1,1,0.0,19.12147969189634,0.6875,5,0.006954805001441855,0.0003637168834998315,0.0,8.547515117079392,0.044,8.503515117079392,47.549530535673114,66.2405825877441,19.12147969189634,16,16,1.0,0.4479934712109781,0.977107535421263,bos_scaling,pbqs,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.007772003998979926
controlled_bos,16,5.0,reference,3,HDS,Sharable,HDS-Sharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,16,9,0.5625,15.151541232000454,0,12,16,4.333333333333333,"{""1"":1,""2"":4,""3"":1,""4"":3,""5"":1,""7"":1,""16"":1}",12,0.75,0,4,12,10,16,0,5,759,1899,15.150863283000945,0.10476951792835523,1,0,1,12,3.9968028886505635e-15,2.6645352591003757e-15,0.035,15.764160560358228,101.80221754215597,159.46968442420817,0.0639803060602728,0.03951365707396232,0.08844695504658327,0.2046081391828096,0.1845046826329602,0.34045501219445823,0.1831928009075819,0.33245590636153405,0.054589123889469834,0.30555755063624745,10,1,1,1,1,0.0,15.764160560358228,0.25,5,15.197474454998883,0.9640522498366086,15.195622327999445,8.196177403372479,0.052000000000000005,8.14417740337248,36.562598149104055,61.38244175484288,15.764160560358228,16,16,1.0,2.468488736312679,0.8646116263113008,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,15.198496496999724
controlled_bos,16,5.0,reference,3,HDS,NonSharable,HDS-NonSharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,16,5,0.3125,0.026655854999262374,0,12,16,6.833333333333333,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""10"":1,""11"":1,""16"":1}",5,0.3125,0,11,5,10,16,0,5,159,704,0.026233455999317812,0.0,0,0,0,5,3.3306690738754696e-16,3.3306690738754696e-16,0.035,13.723567130143259,101.80221754215597,154.46388809014775,0.05752819613088159,0.032565925650060536,0.08249046661170265,0.18631783592151763,0.14815005912614157,0.21154652889355322,0.17853075689509568,0.3133716506023782,0.06241431754971856,0.3123156315927267,10,1,1,1,1,0.0,13.723567130143259,0.6875,5,0.027925067995965946,0.0020348257658629925,0.026233455999317812,8.200177403372479,0.056,8.14417740337248,0.5035296783741012,55.89535077645529,13.723567130143259,16,16,1.0,4.509082166527648,0.7526918829425979,bos_scaling,hds_full,16,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.029026215001067612
