family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,variant,controlled_bos_size,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
controlled_bos,8,5.0,reference,1,HDS,Sharable,HDS-Sharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,8,7,0.875,0.44450710700039053,0,2,8,4.5,"{""1"":1,""8"":1}",7,0.875,1,0,8,1,8,5,5,227,659,0.4439169790020969,0.0,0,0,0,7,2.7755575615628914e-16,1.1102230246251565e-16,0.025,9.674928604967288,52.50572170448824,67.94498647353117,0.03246079677235321,0.020168589741105056,0.044753003803601366,0.11558485212205881,0.13632954382868012,0.2170290334341335,0.14280850315627536,0.2452900382958677,0.05586568168951907,0.1689146642649953,8,1,1,1,1,0.0,9.674928604967288,0.0,4,0.4446575709989702,0.04595977801538243,0.4439169790020969,4.220457736359059,0.02,4.200457736359059,9.723742771261778,27.740364509294114,9.674928604967288,8,8,1.0,8.94098519087596,0.5197127957869898,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.44544397199933883
controlled_bos,8,5.0,reference,1,HDS,NonSharable,HDS-NonSharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,8,5,0.625,0.014551749998645391,0,4,8,3.5,"{""1"":1,""2"":1,""3"":1,""8"":1}",5,0.625,0,3,5,2,8,0,5,87,384,0.01403932700122823,0.0,0,0,0,5,2.220446049250313e-16,1.1102230246251565e-16,0.035,10.864449930367968,52.50572170448824,64.77568473139254,0.024069614690714457,0.014918368832007282,0.03322086054942163,0.09685386695065205,0.10306313581839385,0.2706522621325535,0.11022465160628955,0.2876555062945872,0.03956590041948588,0.14766845516484248,10,1,1,1,1,0.0,10.864449930367968,0.375,5,0.01479410199317499,0.00136169820727168,0.01403932700122823,4.218457736359059,0.018000000000000002,4.200457736359059,0.29561545191787464,29.056160085195618,10.864449930367968,8,8,1.0,7.75146386547528,0.5836108852627956,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.015607061999617144
controlled_bos,8,5.0,reference,1,PBQS,Sharable,PBQS-Sharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,8,6,0.75,0.002769974998955149,0,2,8,5.0,"{""2"":1,""8"":1}",0,0.0,0,5,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.015,18.111816003063534,52.50572170448824,52.50572170448824,0.06719243286904265,0.04222167744818133,0.09216318828990398,0.19447064321293384,0.13987005204019207,0.15948051785636436,0.15265700845400867,0.23081340122326868,0.03865301465489499,0.09805094928891842,6,1,1,1,1,0.0,18.111816003063534,0.625,3,0.00463978900006623,0.0002561746982898584,0.0,4.208457736359059,0.008,4.200457736359059,38.01145696180356,35.00471577832809,18.111816003063534,8,8,1.0,0.5040977927797137,0.9729211362757667,bos_scaling,pbqs,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.005246251999778906
controlled_bos,8,5.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,8,4,0.5,0.0024367589976463933,0,3,8,4.333333333333333,"{""1"":1,""4"":1,""8"":1}",0,0.0,0,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,15.396456526130471,52.50572170448824,55.67502344662686,0.03907879592677857,0.024615879845203664,0.05354171200835347,0.14037050084344407,0.11816347072546628,0.20818811901426099,0.12719946598311663,0.17619682044938098,0.034308317494387654,0.12994135493020964,8,1,1,1,1,0.0,15.396456526130471,0.5,4,0.004308215993660269,0.0002798186703770751,0.0,4.212457736359059,0.012,4.200457736359059,21.90548525458338,33.68892020242658,15.396456526130471,8,8,1.0,3.219457269712777,0.8270588645274212,bos_scaling,pbqs,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.004834349001612281
controlled_bos,8,5.0,reference,2,HDS,Sharable,HDS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,8,6,0.75,4.794790681997256,0,3,8,3.6666666666666665,"{""1"":1,""2"":1,""8"":1}",7,0.875,1,0,8,2,8,2,5,227,659,4.7942298670022865,0.0,0,0,0,7,1.0547118733938987e-15,8.881784197001252e-16,0.035,11.293646850280089,52.19782501055718,69.32436483846193,0.03726342268961419,0.025994632720082605,0.04853221265914577,0.11107723459799859,0.17292162204872802,0.4107777418012569,0.1631493438648816,0.3415547646280113,0.03818818116630636,0.17910279501354803,10,1,1,1,1,0.0,11.293646850280089,0.0,5,4.800432842999726,0.42505604315763357,4.799549739000213,4.193826000844574,0.018000000000000002,4.175826000844574,10.406304918874891,33.323170379399585,11.293646850280089,8,8,1.0,8.27582631282723,0.5771053086687613,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,4.801217332998931
controlled_bos,8,5.0,reference,2,HDS,NonSharable,HDS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,8,5,0.625,0.012745601001370233,0,4,8,3.5,"{""1"":1,""2"":1,""3"":1,""8"":1}",5,0.625,0,3,5,2,8,0,5,87,384,0.01232855899797869,0.0,0,0,0,5,1.6653345369377348e-16,1.6653345369377348e-16,0.035,8.452272990022161,52.19782501055718,78.9140753855737,0.030536165863456394,0.021348779007571518,0.03972355271934127,0.089339892255991,0.16179531423487056,0.2022320283519516,0.1413956422491413,0.29385041019639985,0.05193343860316084,0.23817725307939736,10,1,1,1,1,0.0,8.452272990022161,0.375,5,0.013026420001551742,0.0015411736011046169,0.01232855899797869,4.2038260008445745,0.028,4.175826000844575,0.28545607965834874,26.8019676767973,8.452272990022161,8,8,1.0,11.117200173085157,0.4319111158268951,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.013622856000438333
controlled_bos,8,5.0,reference,2,PBQS,Sharable,PBQS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,8,6,0.75,0.0019849159980367403,0,2,8,5.0,"{""2"":1,""8"":1}",0,0.0,0,5,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.015,17.5224438664821,52.19782501055718,52.19782501055718,0.10060639073641409,0.07346711058524816,0.12774567088758002,0.21764796706684106,0.25156460301446915,0.3710772949407026,0.2187120789673734,0.262004360839764,0.039718831770496024,0.08307037035196936,6,1,1,1,1,0.0,17.5224438664821,0.625,3,0.0025348549970658496,0.0001446633252976008,0.0,4.183826000844574,0.008,4.175826000844574,35.26142015722039,39.17663407203139,17.5224438664821,8,8,1.0,2.047029296625219,0.8953968111679005,bos_scaling,pbqs,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0029808990002493374
controlled_bos,8,5.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,8,4,0.5,0.0017260300010093488,0,3,8,4.333333333333333,"{""1"":1,""4"":1,""8"":1}",0,0.0,0,4,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,15.567447469861357,52.19782501055718,57.15716578816035,0.05880548204155535,0.04284706454171156,0.07476389954139914,0.15466518504787877,0.20345562616519788,0.3220399449131681,0.17669388102973982,0.2477862153835584,0.033848682765965865,0.1257489407793277,8,1,1,1,1,0.0,15.567447469861357,0.5,4,0.002818516000843374,0.0001810519037433743,0.0,4.1878260008445745,0.012,4.175826000844575,18.958991631069452,37.11964441149091,15.567447469861357,8,8,1.0,4.002025693245962,0.7954965031562197,bos_scaling,pbqs,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.0032939750017249025
controlled_bos,8,5.0,reference,3,HDS,Sharable,HDS-Sharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,8,6,0.75,9.22297185899879,0,3,8,3.6666666666666665,"{""1"":1,""2"":1,""8"":1}",7,0.875,1,0,8,2,8,2,5,227,659,9.222481960998266,0.0,0,0,0,7,1.1102230246251565e-16,1.1102230246251565e-16,0.035,9.246271326921255,56.43812979420466,76.98652323011423,0.02859394167627049,0.01887981857232196,0.03830806478021902,0.09074964737925399,0.15175295899980487,0.3886648736279994,0.13180037586520818,0.3214702506575931,0.05060891429174369,0.21308717410047062,10,1,1,1,1,0.0,9.246271326921255,0.0,5,9.227198133001366,0.9979372015761255,9.22643658999732,4.537050383536372,0.022,4.515050383536372,8.83021122040435,27.224894213776196,9.246271326921255,8,8,1.0,8.986377969749652,0.5071271418909773,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,9.227863453997998
controlled_bos,8,5.0,reference,3,HDS,NonSharable,HDS-NonSharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,8,4,0.5,0.0161504009993223,0,4,8,3.75,"{""1"":1,""2"":1,""4"":1,""8"":1}",5,0.625,0,3,5,2,8,1,5,87,384,0.015862803000345593,4.608696839324137e-16,0,0,0,5,3.3306690738754696e-16,3.3306690738754696e-16,0.035,11.43994711796349,56.43812979420466,78.92180740224168,0.029834566111018056,0.017202388344395667,0.04246674387764044,0.1034837874101023,0.10417817604989069,0.23238209054261405,0.13324580386449805,0.2653060200263103,0.041039698488015794,0.20429143177290843,10,1,1,1,1,0.0,11.43994711796349,0.375,5,0.019211279999581166,0.001679315455000207,0.01849337000021478,4.537050383536372,0.022,4.515050383536372,0.168512208611574,31.04513622303069,11.43994711796349,8,8,1.0,6.792702178707417,0.6274429421539033,bos_scaling,hds_full,8,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.019881637002981734
