family,workflow_size,deadline_factor,deadline_mode,seed,scheduler,sharing,configuration,minimum_makespan_s,workflow_slack_s,reference_deadline_feasible,deadline_kappa,tastd_mode,enable_vm_reuse,reuse_policy,joint_bos_optimization,adaptive_bos_fallback,reconstruct_earliest_start,workflow_arrival_s,workflow_deadline_s,workflow_deadline_duration_s,deadline_to_minimum_makespan_ratio,requested_candidate_count,initial_effective_candidate_count,first_round_submitted_sfc_count,first_round_admitted_sfc_count,first_round_accepted_sfc_ratio,first_round_scheduler_runtime_s,unfinished_sfc_count,scheduling_round_count,bos_max_size,bos_mean_size,bos_size_histogram,jointly_scheduled_sfc_count,jointly_scheduled_sfc_ratio,single_sfc_fallback_count,reuse_path_count,new_vm_path_count,milp_invocations,milp_max_bos_size,milp_min_effective_candidate_count,milp_max_effective_candidate_count,milp_max_variables,milp_max_constraints,milp_max_single_solve_s,milp_max_gap,milp_limit_reached_count,milp_admission_limit_reached_count,milp_secondary_limit_reached_count,milp_total_admitted_count,milp_avoidable_idle_removed_s,milp_max_avoidable_idle_removed_s,provisioning_cost,end_to_end_delay_s,network_data_mb,network_hop_data_mb,resource_utilization,cpu_utilization,ram_utilization,vm_time_utilization,mean_node_cpu_utilization,max_node_cpu_utilization,mean_node_ram_utilization,max_node_ram_utilization,mean_link_bandwidth_utilization,max_link_bandwidth_utilization,used_link_count,workflow_deadline_success,workflow_completed,global_deadline_success,sfc_subdeadline_success,sfc_deadline_miss_rate,makespan_s,vm_reuse_rate,provisioned_vm_count,scheduler_runtime_s,scheduler_overhead_ratio,milp_runtime_s,communication_delay_s,propagation_delay_s,serialization_delay_s,queueing_delay_s,execution_time_s,measurement_duration_s,completed_sfc_count,total_sfc_count,accepted_sfc_ratio,realized_workflow_slack_s,workflow_deadline_consumption,study,variant,controlled_bos_size,topology,node_count,local_node_count,global_node_count,candidate_count,effective_candidate_count,candidate_node_coverage,solver_time_limit_s,eta,alpha,beta,gamma,omega_u,omega_w,case_wall_runtime_s
controlled_bos,14,5.0,reference,1,HDS,Sharable,HDS-Sharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,14,8,0.5714285714285714,15.164875063001091,0,10,14,4.6,"{""1"":1,""2"":1,""3"":2,""4"":3,""5"":1,""6"":1,""14"":1}",10,0.7142857142857143,0,4,10,8,14,0,5,596,1529,15.164263681999728,0.044755007968043097,1,0,1,10,8.104628079763643e-15,2.6645352591003757e-15,0.035,16.35822286423551,89.74289582668048,123.64550246968304,0.04248690492032872,0.029003923042525543,0.0559698867981319,0.15689004115104288,0.1213917950034787,0.21666680028399196,0.11358240245653188,0.23098983711124954,0.04554683342509076,0.23659077983367013,10,1,1,1,1,0.0,16.35822286423551,0.2857142857142857,5,15.179474662996654,0.9279415489676455,15.177724847999343,7.213431666134438,0.034,7.179431666134438,13.717269129525258,47.06701234531287,16.35822286423551,14,14,1.0,2.257690931607737,0.8787225297470029,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,15.180514191997645
controlled_bos,14,5.0,reference,1,HDS,NonSharable,HDS-NonSharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,14,5,0.35714285714285715,0.026806118999957107,0,10,14,5.9,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""14"":1}",5,0.35714285714285715,0,9,5,8,14,0,5,141,624,0.026269510002748575,0.0,0,0,0,5,1.6653345369377348e-16,1.1102230246251565e-16,0.035,10.315593359942634,89.74289582668048,136.1227450368809,0.04146490334647163,0.029863878321307977,0.05306592837163528,0.14206659446065542,0.20300416356221396,0.29972765562469844,0.15942517808795093,0.2885987935411474,0.07319472759692061,0.40171352752724343,10,1,1,1,1,0.0,10.315593359942634,0.6428571428571429,5,0.028045292991009774,0.0027187280471829044,0.026269510002748575,7.229431666134438,0.05,7.179431666134438,0.43888708045901004,42.619978338196624,10.315593359942634,14,14,1.0,8.300320435900614,0.5541276927402836,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.02919663899956504
controlled_bos,14,5.0,reference,1,PBQS,Sharable,PBQS-Sharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,14,6,0.42857142857142855,0.003351151000970276,0,4,14,6.5,"{""1"":1,""3"":1,""8"":1,""14"":1}",0,0.0,0,10,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,18.107376201973995,89.74289582668048,111.18522496270914,0.06973266768230273,0.049879194311184295,0.08958614105342115,0.2282951911558665,0.19469877839737734,0.3426152407689002,0.16895683499235656,0.2559175959909861,0.0507456893341986,0.16365020930724455,8,1,1,1,1,0.0,18.107376201973995,0.7142857142857143,4,0.006486629998107674,0.00035823135973728356,0.0,7.205431666134438,0.026000000000000002,7.179431666134438,55.61400557577362,54.79084587740796,18.107376201973995,14,14,1.0,0.5085375938692529,0.9726826413440524,bos_scaling,pbqs,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.007301824000023771
controlled_bos,14,5.0,reference,1,PBQS,NonSharable,PBQS-NonSharable,3.7231827591686497,14.892731036674599,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,18.615913795843248,18.615913795843248,5.0,20,5,14,4,0.2857142857142857,0.002642283998284256,0,4,14,8.0,"{""2"":1,""6"":1,""10"":1,""14"":1}",0,0.0,0,10,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,18.037027223995647,89.74289582668048,102.83162607200691,0.07147847942207605,0.05283657722561866,0.09012038161853345,0.22286674927808822,0.21390385214073326,0.30007075309824494,0.171559563100856,0.24185624141081813,0.05048047426023838,0.1399090011375603,8,1,1,1,1,0.0,18.037027223995647,0.7142857142857143,4,0.006467821000114782,0.00035858575361633234,0.0,7.205431666134438,0.026000000000000002,7.179431666134438,45.933907553233084,53.48801982674117,18.037027223995647,14,14,1.0,0.5788865718476011,0.9689036714396013,bos_scaling,pbqs,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.007187122999312123
controlled_bos,14,5.0,reference,2,HDS,Sharable,HDS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,14,8,0.5714285714285714,2.4840214930009097,0,10,14,4.3,"{""1"":1,""2"":3,""3"":1,""4"":2,""5"":1,""6"":1,""14"":1}",10,0.7142857142857143,0,4,10,8,14,0,5,596,1529,2.4834403959976044,0.0,0,0,0,10,1.2340128918708615e-13,1.1585177261963508e-13,0.035,17.888669126367923,92.56189817157473,133.5880757148936,0.06182088207792785,0.03990573691444147,0.08373602724141424,0.1863602952460062,0.15534318447379397,0.2249979808792997,0.16101313924469157,0.3034757007114566,0.04322938290961981,0.20690813735817046,10,1,1,1,1,0.0,17.888669126367923,0.2857142857142857,5,2.499248157997499,0.13971124069333946,2.4977121079973585,7.442951853725978,0.038,7.4049518537259775,25.85210493627657,55.90808857380186,17.888669126367923,14,14,1.0,1.6808040367393957,0.9141109204764861,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,2.500169969996932
controlled_bos,14,5.0,reference,2,HDS,NonSharable,HDS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,idle_only,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,14,5,0.35714285714285715,0.02207027599797584,0,10,14,5.9,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""14"":1}",5,0.35714285714285715,0,9,5,8,14,0,5,141,624,0.021647517001838423,0.0,0,0,0,5,1.6653345369377348e-16,1.6653345369377348e-16,0.035,16.150398875999752,92.56189817157473,140.37720933772158,0.05834326523862999,0.04258683117550094,0.07409969930175904,0.17677650848629015,0.19297979752147748,0.32985662573390206,0.1344883606936291,0.23048843947297318,0.048218464465467195,0.24201431302813387,10,1,1,1,1,0.0,16.150398875999752,0.6428571428571429,5,0.023006890995020512,0.0014245401102266166,0.021647517001838423,7.454951853725978,0.05,7.404951853725978,0.37116382068428344,53.03295254588705,16.150398875999752,14,14,1.0,3.4190742871075663,0.8252853176674546,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.023892559998785146
controlled_bos,14,5.0,reference,2,PBQS,Sharable,PBQS-Sharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,14,6,0.42857142857142855,0.0035428060000413097,0,5,14,6.0,"{""1"":1,""3"":1,""4"":1,""8"":1,""14"":1}",0,0.0,0,10,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.035,18.630817985242313,92.56189817157473,124.86603613452178,0.09386318991867135,0.06452566843773588,0.12320071139960681,0.2519439271389214,0.23872208261890523,0.37316933610217407,0.21427871026055542,0.3244946306202088,0.051416052716390465,0.19722880360246703,8,1,1,1,1,0.0,18.630817985242313,0.7142857142857143,4,0.0072756460031087045,0.00039051672389649384,0.0,7.438951853725978,0.034,7.404951853725978,53.94045718799257,60.46654251334113,18.630817985242313,14,14,1.0,0.9386551778650052,0.9520347241828373,bos_scaling,pbqs,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.00802950800061808
controlled_bos,14,5.0,reference,2,PBQS,NonSharable,PBQS-NonSharable,3.9138946326214636,15.655578530485855,1,5.0,downstream_reserved,1,queue_aware,1,1,1,0.0,19.569473163107318,19.569473163107318,5.0,20,5,14,4,0.2857142857142857,0.0026525599969318137,0,4,14,8.0,"{""2"":1,""6"":1,""10"":1,""14"":1}",0,0.0,0,10,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.025,19.54627458063896,92.56189817157473,117.20646156665335,0.09725605942856112,0.06775914106792233,0.12675297778919992,0.25451338773467075,0.24615193659422613,0.39177085722476707,0.21616933259390467,0.359250881381922,0.04861609516383669,0.15253795571891376,8,1,1,1,1,0.0,19.54627458063896,0.7142857142857143,4,0.006178989991894923,0.0003161211087260258,0.0,7.434951853725978,0.03,7.4049518537259775,40.978537707119656,61.08321305632098,19.54627458063896,14,14,1.0,0.023198582468356932,0.9988145525290844,bos_scaling,pbqs,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.006895258000440663
controlled_bos,14,5.0,reference,3,HDS,Sharable,HDS-Sharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,14,8,0.5714285714285714,6.9425016150016745,0,8,14,4.375,"{""1"":1,""2"":2,""3"":2,""4"":1,""6"":1,""14"":1}",11,0.7857142857142857,0,3,11,6,14,0,5,596,1529,6.941815302998293,0.0,0,0,0,11,1.27675647831893e-15,8.881784197001252e-16,0.035,15.259706216153981,93.42717833989606,135.51775650176296,0.06082024703631873,0.035843516790866295,0.08579697728177116,0.1796917188094328,0.1668172901270069,0.2963619218842207,0.19403227233890918,0.32840081686926087,0.051186430340434554,0.24295022873734357,10,1,1,1,1,0.0,15.259706216153981,0.21428571428571427,5,6.954761681994569,0.45575986742341296,6.953350971998589,7.518174267191684,0.044,7.474174267191684,28.294833480074136,53.907515642829836,15.259706216153981,14,14,1.0,2.9729430805169255,0.8369439881093005,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,6.955759468000906
controlled_bos,14,5.0,reference,3,HDS,NonSharable,HDS-NonSharable,3.6465298593341817,14.586119437336725,1,4.999999999999999,downstream_reserved,1,idle_only,1,1,1,0.0,18.232649296670907,18.232649296670907,4.999999999999999,20,5,14,5,0.35714285714285715,0.020068916001036996,0,10,14,5.9,"{""1"":1,""2"":1,""3"":1,""4"":1,""5"":1,""6"":1,""7"":1,""8"":1,""9"":1,""14"":1}",5,0.35714285714285715,0,9,5,8,14,0,5,141,624,0.01969624100092915,0.0,0,0,0,5,9.992007221626409e-16,6.661338147750939e-16,0.035,16.979755915561476,93.42717833989606,139.70150821842705,0.0575802885715864,0.034481138068685996,0.0806794390744868,0.17667799904349343,0.13980902504862852,0.2534118230073551,0.15222459185884377,0.25660435961129474,0.046198360831740726,0.2764559880784573,10,1,1,1,1,0.0,16.979755915561476,0.6428571428571429,5,0.021047643000201788,0.0012395727656433627,0.01969624100092915,7.5221742671916845,0.048,7.474174267191684,0.4445651979740161,53.003399713048026,16.979755915561476,14,14,1.0,1.2528933811094305,0.9312829769978521,bos_scaling,hds_full,14,small,5,3,2,20,5,1.0,15.0,0.7,0.7,0.2,0.1,0.7,0.3,0.021983857001032447
