topology,node_count,family,workflow_size,deadline_factor,candidate_count,sharing,paired_sample_size,provisioning_cost_improvement_pct_mean,provisioning_cost_improvement_pct_ci95_low,provisioning_cost_improvement_pct_ci95_high,end_to_end_delay_s_improvement_pct_mean,end_to_end_delay_s_improvement_pct_ci95_low,end_to_end_delay_s_improvement_pct_ci95_high,network_data_mb_improvement_pct_mean,network_data_mb_improvement_pct_ci95_low,network_data_mb_improvement_pct_ci95_high,resource_utilization_improvement_pct_mean,resource_utilization_improvement_pct_ci95_low,resource_utilization_improvement_pct_ci95_high,cpu_utilization_improvement_pct_mean,cpu_utilization_improvement_pct_ci95_low,cpu_utilization_improvement_pct_ci95_high,ram_utilization_improvement_pct_mean,ram_utilization_improvement_pct_ci95_low,ram_utilization_improvement_pct_ci95_high,max_link_bandwidth_utilization_improvement_pct_mean,max_link_bandwidth_utilization_improvement_pct_ci95_low,max_link_bandwidth_utilization_improvement_pct_ci95_high,workflow_deadline_success_improvement_pct_mean,workflow_deadline_success_improvement_pct_ci95_low,workflow_deadline_success_improvement_pct_ci95_high,workflow_completed_improvement_pct_mean,workflow_completed_improvement_pct_ci95_low,workflow_completed_improvement_pct_ci95_high,global_deadline_success_improvement_pct_mean,global_deadline_success_improvement_pct_ci95_low,global_deadline_success_improvement_pct_ci95_high,sfc_subdeadline_success_improvement_pct_mean,sfc_subdeadline_success_improvement_pct_ci95_low,sfc_subdeadline_success_improvement_pct_ci95_high
large,25,cybershake,600,3.0,25,NonSharable,5,15.439990739926007,7.780120517477484,23.09986096237453,8.988021224161193,7.554761126572496,10.42128132174989,5.651418335427793,3.385406908474285,7.917429762381301,9.432930600482914,6.706234955236413,12.159626245729411,6.363259981794397,3.555916616618366,9.170603346970431,11.167810583083583,8.453334704180305,13.88228646198686,-23.76060496996512,-45.500599235049094,-2.0206107048811432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,cybershake,600,3.0,25,Sharable,5,-41.23111422995189,-43.78936663907932,-38.672861820824465,31.179348387642825,29.11714079883585,33.241555976449796,-37.138087461620515,-41.499719340901265,-32.776455582339764,-33.80722299448967,-35.060973698960275,-32.553472290019066,-35.34468376549821,-36.872338936117565,-33.817028594878856,-32.93863168789765,-34.070631919036025,-31.80663145675927,-128.1525820489388,-164.06331185117207,-92.24185224670552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,epigenomics,600,3.0,25,NonSharable,5,16.924337515419893,14.904550457316867,18.94412457352292,5.541259952307263,3.11463971885615,7.967880185758375,17.379762936489612,11.46280574788341,23.29672012509581,13.196887483247062,10.523824402339,15.869950564155124,11.187260972163951,8.585420314677274,13.789101629650625,14.27459523974908,11.42685459949445,17.122335880003707,-36.97266953633806,-52.52553137288197,-21.419807699794138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,epigenomics,600,3.0,25,Sharable,5,-7.625852833268276,-13.92790987476586,-1.3237957917706922,11.76833896849684,9.910317137381114,13.626360799612566,0.3641009172033701,-9.7928612130859,10.521063047492639,-11.072960710948701,-13.412271291366626,-8.733650130530773,-12.672470277951145,-15.3241086163348,-10.02083193956749,-10.215931687668379,-12.458385249162774,-7.973478126173988,-54.999489465029534,-78.44953107137852,-31.549447858680548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,inspiral,600,3.0,25,NonSharable,5,24.06796004931543,19.29042689649861,28.84549320213226,13.908599919563907,11.707804386542536,16.10939545258528,17.94513652143611,15.37682532204144,20.513447720830776,17.102846462078638,14.21392003243435,19.991772891722924,12.931072773283734,10.734193248531682,15.127952298035787,19.49285491877506,16.159626754631315,22.826083082918803,-21.73174264617763,-48.941991566331914,5.478506273976656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,inspiral,600,3.0,25,Sharable,5,-1.461315626729164,-8.20046740446122,5.277836151002891,25.125101916024406,24.415592312201106,25.834611519847705,1.9213663642769832,-3.422499230215108,7.265231958769075,-12.439387301919341,-15.542818106517174,-9.335956497321504,-15.811088124640452,-18.578524740193156,-13.043651509087749,-10.507714643518273,-13.824255736667215,-7.1911735503693315,-79.61335452721093,-106.26877826556542,-52.95793078885647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,montage,600,3.0,25,NonSharable,5,20.4719398116423,15.412383959400604,25.531495663883998,11.10257548114205,5.856654606610742,16.34849635567336,5.6664450475403445,2.5887987677705273,8.744091327310164,11.053671590018965,6.26054549708962,15.84679768294831,7.513939522836722,4.037137386475825,10.990741659197619,13.060877311346676,7.458757623970958,18.662996998722395,-38.065289200587316,-52.00356314625166,-24.127015254922973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large,25,montage,600,3.0,25,Sharable,5,-42.27338584336555,-46.94339321456757,-37.60337847216355,35.59673985253535,31.933983830982065,39.25949587408862,-44.61731273906773,-45.80079145706271,-43.433834021072734,-35.934419885128946,-36.97993456893517,-34.88890520132272,-37.63415843414593,-39.52631007031642,-35.74200679797543,-34.96953430416224,-35.632099486229905,-34.30696912209457,-149.77653924733104,-226.44542064365788,-73.10765785100419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,cybershake,700,3.0,30,NonSharable,5,16.453459163774983,13.106413648039737,19.80050467951023,10.249385198589255,8.6146073093483,11.884163087830212,5.941219877504101,4.295460095445486,7.586979659562718,9.939555822702992,5.234805072875254,14.64430657253073,6.6285393320515595,2.004996377335006,11.252082286768117,11.81881584177017,7.105661583859868,16.531970099680475,-28.835172606118352,-48.88752049876001,-8.782824713476689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,cybershake,700,3.0,30,Sharable,5,-41.02245840608971,-51.03495704770825,-31.009959764471162,33.309828637322425,30.121407352945177,36.498249921699674,-33.1033599171861,-35.726080423184655,-30.480639411187543,-33.9386970879355,-35.72836091189052,-32.149033263980485,-35.65845677929781,-37.53318184047227,-33.78373171812335,-32.96112938172248,-34.70002271155569,-31.222236051889283,-124.5511585259402,-154.67243620982617,-94.42988084205423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
large_plus,30,epigenomics,700,3.0,30,NonSharable,5,17.480053812225897,14.645455716097775,20.31465190835402,5.800374643553022,4.315099259375425,7.285650027730619,15.775937803362046,11.009729617729473,20.54214598899462,14.82188811364278,11.50996029507838,18.133815932207177,12.611971076283787,9.640679497297263,15.583262655270307,16.011471822731043,12.51407988528627,19.508863760175817,-40.65883232512611,-69.3385459447907,-11.979118705461524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
