family,sharing,kappa_min,kappa_max,paired_seeds,hds_normalized_auc,pbqs_normalized_auc,auc_difference_percentage_points,auc_difference_ci95_low_pp,auc_difference_ci95_high_pp,paired_t_p_value,wilcoxon_p_value,holm_adjusted_p_value
cybershake,NonSharable,0.8,3.0,50,0.7454545454545451,0.7256818181818183,1.977272727272724,1.318181818181816,2.61363636363636,4.1502293609717e-07,3.3427750777529634e-05,8.3004587219434e-07
cybershake,Sharable,0.8,3.0,50,0.7293181818181819,0.5252272727272727,20.40909090909091,18.954545454545457,22.0,1.794840890401671e-30,7.083792122188225e-10,1.2563886232811696e-29
epigenomics,NonSharable,0.8,3.0,50,0.880909090909091,0.869090909090909,1.1818181818181808,0.5909090909090884,1.8181818181818168,0.0005513852885652057,0.007356882666200892,0.0005513852885652057
epigenomics,Sharable,0.8,3.0,50,0.880909090909091,0.835,4.59090909090909,3.8181818181818166,5.409090909090907,5.438128349782083e-15,4.834108226580145e-09,2.7190641748910414e-14
inspiral,NonSharable,0.8,3.0,50,0.8295454545454544,0.7802272727272725,4.931818181818184,3.8636363636363664,6.000000000000002,5.508470990229628e-12,1.3494015850533737e-08,2.203388396091851e-11
inspiral,Sharable,0.8,3.0,50,0.8309090909090908,0.7070454545454545,12.38636363636364,11.159090909090912,13.613636363636363,4.448104210230431e-25,1.0947696934612459e-09,2.668862526138259e-24
montage,NonSharable,0.8,3.0,50,0.714772727272727,0.6922727272727274,2.2499999999999987,1.6818181818181825,2.818181818181815,2.994742046276067e-10,4.2557992097483895e-07,8.984226138828202e-10
montage,Sharable,0.8,3.0,50,0.6931818181818185,0.43840909090909086,25.47727272727272,23.772727272727273,27.182386363636358,2.1779249546692417e-32,7.009972797859239e-10,1.7423399637353933e-31
