controlled_bos_size,deadline_factor,sharing,candidate_count,comparison,metric,paired_seeds,hds_mean,comparator_mean,mean_paired_difference,median_paired_difference,paired_ci95_low,paired_ci95_high,cohen_dz,paired_t_p_value,hds_improvement_pct,conditional_on_both_globally_successful
3,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
3,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.015,0.01,0.004999999999999999,0.004999999999999999,0.004999999999999999,0.004999999999999999,,0.0,-49.99999999999999,1
3,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,6.051550748856122,11.373369812903153,-5.321819064047031,-5.112185076130878,-6.3614532666631005,-4.282184861430962,-6.3559962919206825,0.00014232374292939148,46.791928439796244,1
3,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,19.090332588746644,19.090332588746644,0.0,0.0,0.0,0.0,,1.0,0.0,1
3,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.05716901619962293,0.0009624054000595799,0.056206610799563364,0.0569828460029385,0.0360833768017301,0.07632984479739663,3.4681167598798077,0.0014899230975670408,-5840.221885297376,0
3,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.05716901619962293,0.0009624054000595799,0.056206610799563364,0.0569828460029385,0.0360833768017301,0.07632984479739663,3.4681167598798077,0.0014899230975670408,-5840.221885297376,0
3,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.05686500579977285,0.0,0.05686500579977285,0.0575965110001561,0.03667698545063256,0.07705302614891313,3.497481637035947,0.0014430260054229367,,0
4,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,0.9,0.1,0.0,-0.07002184516456392,0.27002184516456396,0.7302967433402214,0.17780780835622137,11.111111111111109,0
4,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.025,0.020999999999999998,0.004000000000000001,0.0,-0.0028008738065825566,0.010800873806582558,0.7302967433402215,0.17780780835622123,-19.047619047619065,1
4,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,5.987471249483052,7.949686890431691,-1.9622156409486393,-2.2343254573726554,-3.234740031339525,-0.6896912505577537,-1.9146293277175206,0.012835002921209235,24.682929881306116,1
4,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,26.226163744256354,26.226163744256354,0.0,0.0,0.0,0.0,,1.0,0.0,1
4,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.009373111800232401,0.0011461403992142998,0.008226971401018102,0.0073666900025273,0.006309735336031828,0.010144207466004376,5.328052392426329,0.0002843215850503654,-717.797872464651,0
4,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.009373111800232401,0.0010361727996496199,0.008336939000582782,0.0073666900025273,0.006400646936382818,0.010273231064782746,5.346134089808197,0.00028058117356987697,-804.5896402030534,0
4,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.00905926839914166,0.0,0.00905926839914166,0.0081475430015416,0.00715674953106,0.010961787267223319,5.9124603755553595,0.00018912651834929832,,0
4,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,Sharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
4,5.0,Sharable,20,hds_full-pbqs,provisioning_cost,5,0.017,0.012,0.004999999999999999,0.004999999999999999,0.0049999999999999975,0.005000000000000001,,0.0,-41.66666666666668,1
4,5.0,Sharable,20,hds_full-pbqs,makespan_s,5,7.453734667777463,13.545910448827428,-6.092175781049964,-5.643566596440781,-7.774996130957325,-4.409355431142604,-4.495093809909693,0.00055097035061753,44.97428064406937,1
4,5.0,Sharable,20,hds_full-pbqs,network_data_mb,5,26.226163744256354,26.226163744256354,0.0,0.0,0.0,0.0,,1.0,0.0,1
4,5.0,Sharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.12528293959985598,0.00116598860040534,0.12411695099945066,0.1234722810004314,0.06790775203034354,0.18032614996855778,2.741749614819082,0.0035870989587337265,-10644.782543869045,0
4,5.0,Sharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.12528293959985598,0.00116598860040534,0.12411695099945066,0.1234722810004314,0.06790775203034354,0.18032614996855778,2.741749614819082,0.0035870989587337265,-10644.782543869045,0
4,5.0,Sharable,20,hds_full-pbqs,milp_runtime_s,5,0.12488100519985887,0.0,0.12488100519985887,0.1242474760001641,0.06867484391217608,0.18108716648754164,2.7587767010543427,0.003506301063228543,,0
5,5.0,NonSharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
5,5.0,NonSharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
5,5.0,NonSharable,20,hds_full-pbqs,first_round_accepted_sfc_ratio,5,0.96,0.76,0.19999999999999998,0.19999999999999996,0.024402193382983384,0.3755978066170166,1.4142135623730947,0.03410942316740965,26.315789473684205,0
5,5.0,NonSharable,20,hds_full-pbqs,provisioning_cost,5,0.033,0.023,0.010000000000000002,0.010000000000000002,0.0012201096691491723,0.018779890330850833,1.414213562373095,0.03410942316740962,-43.478260869565226,1
5,5.0,NonSharable,20,hds_full-pbqs,makespan_s,5,6.683279752084617,9.859531921323114,-3.1762521692384964,-3.1976835743786713,-4.233383434890806,-2.1191209035861873,-3.730698443893324,0.001128627110421315,32.21504017213279,1
5,5.0,NonSharable,20,hds_full-pbqs,network_data_mb,5,30.95857355692069,30.95857355692069,0.0,0.0,0.0,0.0,,1.0,0.0,1
5,5.0,NonSharable,20,hds_full-pbqs,scheduler_runtime_s,5,0.012433347199839741,0.00156281099843904,0.0108705362014007,0.0113816190023499,0.00824089236721328,0.01350018003558812,5.132844709603345,0.00032893749281708495,-695.575870163338,0
5,5.0,NonSharable,20,hds_full-pbqs,first_round_scheduler_runtime_s,5,0.012421553600142899,0.00124377419924706,0.011177779400895841,0.0116475750000973,0.008618431331272453,0.01373712747051923,5.422883439218305,0.00026536986075876575,-898.698446041291,0
5,5.0,NonSharable,20,hds_full-pbqs,milp_runtime_s,5,0.012050977999751881,0.0,0.012050977999751881,0.0124696900020353,0.009470333957560252,0.01463162204194351,5.79826790553023,0.00020416806341746427,,0
5,5.0,Sharable,20,hds_full-pbqs,workflow_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
5,5.0,Sharable,20,hds_full-pbqs,global_deadline_success,5,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0
