family,workflow_size,deadline_factor,sharing,candidate_count,eta,alpha,beta,gamma,omega_u,omega_w,deadline_mode,reconstruct_earliest_start,topology,node_count,paired_sample_size,provisioning_cost_improvement_pct_mean,provisioning_cost_improvement_pct_ci95_low,provisioning_cost_improvement_pct_ci95_high,end_to_end_delay_s_improvement_pct_mean,end_to_end_delay_s_improvement_pct_ci95_low,end_to_end_delay_s_improvement_pct_ci95_high,network_data_mb_improvement_pct_mean,network_data_mb_improvement_pct_ci95_low,network_data_mb_improvement_pct_ci95_high,resource_utilization_improvement_pct_mean,resource_utilization_improvement_pct_ci95_low,resource_utilization_improvement_pct_ci95_high,cpu_utilization_improvement_pct_mean,cpu_utilization_improvement_pct_ci95_low,cpu_utilization_improvement_pct_ci95_high,ram_utilization_improvement_pct_mean,ram_utilization_improvement_pct_ci95_low,ram_utilization_improvement_pct_ci95_high,max_link_bandwidth_utilization_improvement_pct_mean,max_link_bandwidth_utilization_improvement_pct_ci95_low,max_link_bandwidth_utilization_improvement_pct_ci95_high,workflow_deadline_success_improvement_pct_mean,workflow_deadline_success_improvement_pct_ci95_low,workflow_deadline_success_improvement_pct_ci95_high,workflow_completed_improvement_pct_mean,workflow_completed_improvement_pct_ci95_low,workflow_completed_improvement_pct_ci95_high,global_deadline_success_improvement_pct_mean,global_deadline_success_improvement_pct_ci95_low,global_deadline_success_improvement_pct_ci95_high,sfc_subdeadline_success_improvement_pct_mean,sfc_subdeadline_success_improvement_pct_ci95_low,sfc_subdeadline_success_improvement_pct_ci95_high
cybershake,100,1.3,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,10.416666666666666,-121.93963266848637,142.7729660018197,1.4320627279325218,-25.617752190249416,28.48187764611446,-0.11035829812060172,-24.989860360906604,24.7691437646654,8.442695831606102,-20.087580627247668,36.97297229045987,7.6224598457623935,-37.03447873287705,52.27939842440183,8.841696166048283,-11.272675987456772,28.95606831955334,-19.763548085268173,-59.14223855932718,19.61514238879084,8.0,-1.6759896734384956,17.675989673438494,8.0,-1.6759896734384956,17.675989673438494,8.0,-1.6759896734384956,17.675989673438494,8.0,-1.6759896734384956,17.675989673438494
cybershake,100,1.3,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,,,,,,,,,,,,,,,,,,,,,,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828,14.0,4.038620771101721,23.96137922889828
cybershake,100,1.35,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,13.257026789635484,1.9297326111127777,24.58432096815819,1.9626221986946184,-0.24563984985230758,4.170884247241544,0.19773442554608334,-5.932810967490145,6.3282798185823115,9.216236446482847,1.2228096841260339,17.20966320883966,7.7842311250456655,-0.19640037393240206,15.764862624023737,9.984151369914782,1.901289403328036,18.067013336501528,-27.123400602976165,-38.213366519714015,-16.033434686238316,26.0,11.016620409190129,40.983379590809875,26.0,11.016620409190129,40.983379590809875,26.0,11.016620409190129,40.983379590809875,26.0,11.016620409190129,40.983379590809875
cybershake,100,1.35,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,,,,,,,,,,,,,,,,,,,,,,26.0,13.407592644604948,38.59240735539505,26.0,13.407592644604948,38.59240735539505,26.0,13.407592644604948,38.59240735539505,26.0,13.407592644604948,38.59240735539505
cybershake,100,1.4,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,8.779881636288959,3.6404715080688916,13.919291764509026,2.124105568056164,1.0879395727399626,3.1602715633723655,1.0585143953853553,-1.056248508668798,3.1732772994395084,5.970896427532775,2.188004323334992,9.753788531730562,4.7955534037792376,1.2044213382330402,8.386685469325432,6.611688976321837,2.7045226257812716,10.518855326862402,-23.893308910608305,-31.84633058820036,-15.94028723301625,36.0,21.07172680989708,50.92827319010292,36.0,21.07172680989708,50.92827319010292,36.0,21.07172680989708,50.92827319010292,36.0,21.07172680989708,50.92827319010292
cybershake,100,1.4,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,,,,,,,,,,,,,,,,,,,,,,58.0,43.83081494166353,72.16918505833647,58.0,43.83081494166353,72.16918505833647,58.0,43.83081494166353,72.16918505833647,58.0,43.83081494166353,72.16918505833647
cybershake,100,1.45,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,10.372266624383332,6.854446233133857,13.890087015632805,3.156304653432163,2.3008823879625746,4.0117269189017515,2.279910758728844,0.8019376723832263,3.7578838450744607,8.835758019824866,5.800737866222611,11.87077817342712,7.465504464145992,4.580250397804772,10.350758530487212,9.589768710387585,6.45913737137851,12.720400049396659,-28.5727575028462,-35.674578011459346,-21.470936994233053,16.0,5.475393555595918,26.524606444404082,16.0,5.475393555595918,26.524606444404082,16.0,5.475393555595918,26.524606444404082,16.0,5.475393555595918,26.524606444404082
cybershake,100,1.45,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,,,,,,,,,,,,,,,,,,,,,,80.0,68.51671293069006,91.48328706930994,80.0,68.51671293069006,91.48328706930994,80.0,68.51671293069006,91.48328706930994,80.0,68.51671293069006,91.48328706930994
cybershake,100,1.5,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.569402008574475,8.480609665792805,14.658194351356144,3.563858096068695,2.7342926244376295,4.39342356769976,2.718404904094135,1.347626887949369,4.089182920238901,8.82207350297822,6.207692067099529,11.436454938856915,7.4868704730393905,4.997792048901201,9.975948897177581,9.557630813894932,6.863550634302124,12.251710993487736,-28.903015259822293,-35.77886506317671,-22.027165456467884,2.0,-2.0191504742584785,6.0191504742584785,2.0,-2.0191504742584785,6.0191504742584785,2.0,-2.0191504742584785,6.0191504742584785,2.0,-2.0191504742584785,6.0191504742584785
cybershake,100,1.5,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,,,,,,,,,,,,,,,,,,,,,,90.0,81.38753469801755,98.61246530198245,90.0,81.38753469801755,98.61246530198245,90.0,81.38753469801755,98.61246530198245,90.0,81.38753469801755,98.61246530198245
cybershake,100,1.6,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.7724470305797086,1.4480915984125717,4.096802462746846,8.842542916540138,6.297554304000216,11.387531529080064,7.526344929206079,5.1051334468552305,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-29.410667376324426,-36.00473967815887,-22.816595074489996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cybershake,100,1.6,Sharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,-26.666666666666675,-26.666666666666675,-26.666666666666675,19.778663509419594,19.778663509419594,19.778663509419594,-37.458002191584704,-37.458002191584704,-37.458002191584704,-23.361448381607108,-23.361448381607108,-23.361448381607108,-25.30010336228134,-25.30010336228134,-25.30010336228134,-22.206698435829033,-22.206698435829033,-22.206698435829033,-118.72005256186495,-118.72005256186495,-118.72005256186495,96.0,90.37436122205813,101.62563877794187,96.0,90.37436122205813,101.62563877794187,96.0,90.37436122205813,101.62563877794187,96.0,90.37436122205813,101.62563877794187
cybershake,100,1.7,NonSharable,20,0.7,0.7,0.2,0.1,0.7,0.3,reference,1,small,5,50,11.678923059312076,8.592566973690257,14.765279144933896,3.5735219914057796,2.7658174366476462,4.381226546163913,2.743836149396634,1.416670716379221,4.0710015824140475,8.842542916540138,6.297554304000216,11.387531529080064,7.526344929206079,5.1051334468552305,9.947556411556928,9.567872955938071,6.944301345190487,12.191444566685655,-29.54630081403867,-36.177141848420675,-22.91545977965667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
